MSISDN;Client_Age;Client_Crea;Client_Type;Client_Offer;Geoloc_commune;Geoloc_ville;Geoloc_region;Geoloc_type;Communaute_Role;Communaute_Taille;Profile_1;Profile_2;Profile_3;Voix_Nbj_Activite;Voix_National;Voix_National_Nb;Voix_NbContact_National;Voix_International;Voix_International_Nb;Voix_NbContact_International;Voix_Roaming;Voix_Roaming_Nb;Voix_NbContact_Roaming;SMS_Nbj_Activite;SMS_NB;SMS__Contacts;Data_Nbj_Activite;Data_Volume;Data_2G;Data_3G;Data_4G;Data_Roaming;Reseaux_Sociaux;Web;News;Omoney_Billpay_mnt;Omoney_Billpay_Nbr;Omoney_Cashin_mnt;Omoney_Cashin_Nbr;Omoney_Cashout_mnt;Omoney_Cashout_Nbr;Omoney_merchpay_mnt;Omoney_merchpay_Nbr;Omoney_P2P_mnt;Omoney_P2P_Nbr;Omoney_RC_mnt;Omoney_RC_Nbr;Equipement_Marque;Equipement_Modele;Equipement_Term_Type;Equipement_4G;Equipement_OS;OOP_Telecom;OOP_Glon;OOP_Assurances;OOP_Automobile;OOP_Bank;OOP_Retail;OOP_Hotels;Longitude;Latitude;Long_Ville;Lat_Ville;Long_Region;Lat_Region
355999950;61;25/04/2007;Prepaid_B2C;Postpaid_B2B_offer;Commune_3;Lara;EXTREME NORD;Geoloc_Work;Neutral;86;Students;Cigales;Spending_Data;7;667;27;7;325;424;91;310;44;13;18;388;100;28;5;2;2;1;3;4;5;7;23580;5;92723;2;59632;3;61113;7;17423;7;40030;2;Nokia;Nokia 8;Smartphone;OUI;IOS;16873;86420;69167;10330;16363;86547;1265; 14.5120 ; 10.177 ; 14.5120 ; 10.177 ;14.46861;10.7487
663999906;39;28/10/2009;Postpaid_B2C;Postpaid_B2C_offer;Commune_3;Makenene;OUEST;Geoloc_Weekend;LB;75;Jeunes;Cigales;Spending_Data;6;185;102;23;635;701;48;119;32;64;17;891;59;24;9;4;4;1;1;4;6;2;99714;10;70119;2;32793;1;5083;2;61032;10;89620;6;OPPO;F8;Feature Phone;OUI;Autre;25140;86932;56448;77573;58811;94337;33551; 10.7771 ; 4.9168 ; 10.7972 ; 4.8930 ;10.45686;6.98414
649999908;47;28/11/2017;Postpaid_B2B;Prepaid_B2C_Offer;Commune_3;Dibombari;LITTORAL;Geoloc_Work;F;3;Jeunes;Cigales;Spending_Data;16;369;610;63;725;216;48;839;7;18;14;705;58;18;6;1;4;1;9;5;9;4;48679;1;37149;7;4713;10;90435;10;66088;7;70030;6;OPPO;F8;Smartphone;NON;IOS;44559;53641;30601;16124;83146;57330;13016; 9.65555 ; 4.1792 ; 9.65555 ; 4.1792 ;9.753459;4.07293
551999922;68;03/11/2017;Postpaid_B2B;Prepaid_B2C_Offer;Commune_3;Njimom;OUEST;Geoloc_Home;LB;85;Foreigners;Fourmis;Spending_Voix;28;339;800;49;835;811;40;790;16;94;8;750;89;28;7;3;3;1;7;8;3;7;2891;2;68499;2;26616;2;10825;9;70348;10;30635;3;Samsung;A8;Feature Phone;OUI;Autre;63214;45856;64442;51375;27194;6805;70116; 10.9456 ; 5.8260 ; 10.9456 ; 5.8260 ;10.45686;6.98414
411999942;21;08/10/2013;Postpaid_B2B;Postpaid_B2C_offer;Commune_2;Fio;EST;Geoloc_Work;Neutral;99;Students;Cigales;Spending_Voix;15;142;255;53;309;786;66;13;93;73;7;823;59;18;21;3;8;10;4;2;7;5;18814;3;87470;6;5890;8;7680;7;48638;2;81582;7;Apple;Iphone 6;Smartphone;OUI;Windows;32293;34747;31388;54243;47773;46125;98270; 13.9773 ; 4.5048 ; 13.9773 ; 4.5048 ;13.81931;4.59548
187999974;26;02/08/2014;Prepaid_B2C;Postpaid_B2C_offer;Commune_2;Bonalea;LITTORAL;Geoloc_Work;FB;18;Jeunes;Fourmis;Spending_Voix;25;803;379;4;626;271;68;257;30;21;5;521;14;22;11;2;7;2;9;6;9;2;91095;10;47710;10;93910;8;50767;10;92765;2;97484;8;Sony;Ericson;Feature Phone;OUI;Autre;78358;8443;91809;87767;88475;83347;64790; 9.73858 ; 4.3184 ; 9.73858 ; 4.3184 ;9.753459;4.07293
145999980;18;22/05/2012;Prepaid_B2C;Postpaid_B2C_offer;Commune_2;Pouss;EXTREME NORD;Geoloc_Work;Neutral;19;Students;Fourmis;Spending_Voix;21;504;747;96;97;512;58;727;23;76;6;863;12;22;19;1;8;10;3;6;4;7;7545;8;80240;10;50231;5;39781;3;42648;5;28318;8;Apple;Iphone 6;Smartphone;OUI;Android;50156;3433;53156;98625;13600;26122;53027; 15.0536 ; 10.845 ; 15.0536 ; 10.845 ;14.46861;10.7487
159999978;72;06/07/2013;Postpaid_B2C;Postpaid_B2C_offer;Commune_2;Mamfe;SUD OUEST;Geoloc_Home;FB;84;Students;Cigales;Spending_Messaging;17;841;869;95;586;249;37;679;28;82;25;425;77;20;4;2;1;1;6;3;9;7;30507;6;98490;8;13917;2;69131;10;22506;1;98479;9;OPPO;Find 9;Smartphone;OUI;Android;90406;90137;44816;45971;91842;58926;57617; 9.31552 ; 5.7447 ; 9.31468 ; 5.7561 ;9.314680;4.38596
6000000;39;25/09/2009;Prepaid_B2C;Postpaid_B2B_offer;Commune_1;Tinto;NORD OUEST;Geoloc_Weekend;L;57;Students;Cigales;Spending_Data;1;964;638;58;962;335;95;683;38;95;8;563;74;30;15;6;4;5;1;9;2;4;21913;6;42509;7;88020;2;99415;5;8159;1;28068;7;Samsung;A8;Feature Phone;OUI;IOS;12615;56726;58408;73497;17798;1098;78179; 9.58069 ; 5.5210 ; 9.58069 ; 5.5210 ;10.23741;6.08712
544999923;23;17/05/2006;Postpaid_B2B;Postpaid_B2B_offer;Commune_1;Laising;NORD OUEST;Geoloc_Work;LB;74;Students;Cigales;Spending_Data;26;448;631;73;143;234;28;156;17;86;22;474;17;28;24;10;5;9;3;3;5;4;63412;1;58749;1;61310;5;32702;9;59289;9;37454;8;Sony;Xperia ZII;Feature Phone;NON;IOS;61279;61938;70643;57275;93903;33907;89925; 10.6275 ; 6.4449 ; 10.6275 ; 6.4449 ;10.23741;6.08712
607999914;63;06/11/2010;Prepaid_B2C;Postpaid_B2B_offer;Commune_2;Meri;EXTREME NORD;Geoloc_Home;FB;35;Students;Fourmis;Spending_Data;1;479;276;82;2;516;9;206;29;53;19;65;9;30;13;5;6;2;1;2;9;4;46939;8;38472;7;99006;6;46386;10;13784;5;40615;9;Samsung;A8;Feature Phone;OUI;Android;46617;94547;84840;59095;93976;74401;34594; 14.1285 ; 10.766 ; 14.1285 ; 10.766 ;14.46861;10.7487
103999986;67;26/02/2007;Postpaid_B2B;Postpaid_B2C_offer;Commune_3;Guere;EXTREME NORD;Geoloc_Home;FB;77;Jeunes;Fourmis;Spending_Messaging;6;976;19;7;547;246;87;527;44;54;5;845;75;30;4;2;1;1;5;5;5;10;5908;4;43149;1;20243;3;91470;5;20279;4;18037;8;OPPO;F10;Smartphone;NON;Autre;64915;10121;14373;49775;23630;93168;49585; 15.2525 ; 10.023 ; 15.2525 ; 10.023 ;14.46861;10.7487
551999922;40;06/12/2017;Prepaid_B2C;Postpaid_B2B_offer;Commune_2;Wina;EXTREME NORD;Geoloc_Home;F;26;Foreigners;Fourmis;Spending_Messaging;5;871;405;9;49;986;57;264;65;58;4;999;16;26;23;6;8;9;9;1;9;4;95066;6;68123;10;43771;2;64061;7;5023;6;10311;3;Sony;Xperia 2;Smartphone;OUI;Autre;80055;22449;8990;47599;95543;56411;15450; 15.1884 ; 10.100 ; 15.1884 ; 10.100 ;14.46861;10.7487
299999958;70;29/09/2006;Prepaid_B2C;Postpaid_B2C_offer;Commune_1;Sagamla;NORD;Geoloc_Home;FB;70;Students;Cigales;Spending_Voix;23;811;527;69;846;601;14;514;21;99;16;286;24;27;14;5;6;3;6;8;9;6;71350;1;28001;10;95981;9;72412;3;50226;9;90200;7;Samsung;A8;Feature Phone;NON;Windows;24227;15491;58453;45300;11443;12308;91025; 13.9430 ; 9.9425 ; 13.9430 ; 9.9425 ;13.54680;9.28246
187999974;37;04/03/2008;Postpaid_B2C;Prepaid_B2C_Offer;Commune_2;Boubara;EST;Geoloc_Work;Neutral;66;Foreigners;Fourmis;Spending_Data;22;297;330;88;949;714;54;749;45;18;21;171;2;24;9;2;3;4;8;9;10;5;87003;10;68407;9;76926;3;93425;3;79939;1;94860;2;OPPO;F8;Smartphone;OUI;Android;82741;41414;78530;22125;23582;44325;51207; 14.5925 ; 4.7114 ; 14.5925 ; 4.7114 ;13.81931;4.59548
418999941;37;30/09/2006;Prepaid_B2C;Postpaid_B2C_offer;Commune_3;Ndemba;EST;Geoloc_Home;F;93;Students;Cigales;Spending_Voix;25;572;360;33;480;2;76;845;81;46;19;904;12;27;21;6;6;9;2;8;9;4;57848;5;72482;5;89072;7;75000;4;2410;6;20737;7;Samsung;A8;Smartphone;NON;Windows;60927;76735;35753;21606;27583;39350;77697; 13.8293 ; 4.5655 ; 13.8293 ; 4.5655 ;13.81931;4.59548
236999967;54;02/10/2012;Postpaid_B2C;Postpaid_B2C_offer;Commune_3;Song-Bong;CENTRE;Geoloc_Work;F;59;Foreigners;Fourmis;Spending_Messaging;15;938;62;17;650;365;39;511;29;21;24;376;68;19;16;6;1;9;5;9;3;3;26870;9;38127;10;96250;4;53112;7;52471;8;8316;10;Nokia;Nokia 8;Feature Phone;NON;IOS;17025;75010;34968;73872;51339;23764;28504; 10.5247 ; 3.4575 ; 10.5247 ; 3.4575 ;11.51645;3.89897
327999954;48;10/02/2006;Prepaid_B2C;Postpaid_B2B_offer;Commune_2;Bangourain;OUEST;Geoloc_Home;Neutral;57;Jeunes;Cigales;Spending_Voix;13;701;381;47;967;361;54;650;97;44;7;572;59;22;18;9;3;6;8;8;2;5;19675;7;78226;5;16769;3;61142;10;77701;1;96035;10;Sony;Xperia 2;Feature Phone;NON;IOS;57343;47535;91232;88657;9846;5534;21286; 10.6739 ; 5.8756 ; 10.6739 ; 5.8756 ;10.45686;6.98414
684999903;49;12/11/2007;Prepaid_B2C;Postpaid_B2B_offer;Commune_3;Nkoundja/Koutaba;OUEST;Geoloc_Work;Neutral;88;Students;Cigales;Spending_Messaging;10;150;845;30;841;568;56;323;51;66;17;410;65;25;19;3;10;6;7;9;3;1;60327;10;56107;6;16998;4;8927;10;18054;9;2189;1;Sony;Xperia 2;Smartphone;OUI;Android;82184;10372;3458;44729;57475;50881;96437; 10.74 ; 5.6377 ; 10.74 ; 5.6377 ;10.45686;6.98414
250999965;30;02/06/2008;Postpaid_B2B;Postpaid_B2C_offer;Commune_3;Mayo-Baleo;ADAMAOUA;Geoloc_Weekend;Neutral;82;Students;Fourmis;Spending_Messaging;24;713;475;84;884;373;1;616;13;66;10;916;67;21;5;2;1;2;6;10;6;6;84262;4;72699;7;32291;5;22036;8;54484;9;35611;6;OPPO;Find 9;Smartphone;OUI;Android;4980;72994;55191;39303;62194;10487;74087; 12.3388 ; 7.6559 ; 12.3388 ; 7.6559 ;13.58763;7.16124
327999954;25;11/10/2011;Prepaid_B2C;Postpaid_B2C_offer;Commune_3;Yoyo;LITTORAL;Geoloc_Weekend;Neutral;37;Foreigners;Cigales;Spending_Data;8;606;333;81;101;503;91;683;67;61;7;270;69;23;7;2;2;3;9;9;9;4;78267;10;91591;2;74842;10;43213;10;75562;7;69420;7;OPPO;Find 9;Smartphone;OUI;IOS;70074;84558;22483;88566;94831;9604;86802; 9.64464 ; 3.6677 ; 9.64464 ; 3.6677 ;9.753459;4.07293
439999938;20;19/09/2011;Postpaid_B2B;Postpaid_B2C_offer;Commune_3;Ebodje;SUD;Geoloc_Work;Neutral;40;Foreigners;Fourmis;Spending_Voix;18;72;840;38;167;733;35;101;96;36;16;436;35;30;16;10;5;1;9;7;6;9;17893;2;92207;3;13934;7;54043;7;44317;9;90980;1;Apple;Iphone 6;Feature Phone;OUI;IOS;83207;28786;45996;55473;67712;75398;51024; 9.84611 ; 2.6203 ; 9.84611 ; 2.6203 ;10.96861;2.86567
355999950;48;12/12/2009;Postpaid_B2B;Postpaid_B2C_offer;Commune_1;Bafia;CENTRE;Geoloc_Weekend;FB;31;Students;Fourmis;Spending_Voix;25;882;586;15;567;821;80;221;74;37;5;955;26;27;20;7;6;7;1;3;8;6;21833;9;99491;8;18173;2;36556;10;50115;10;65812;1;Nokia;Lumia 900;Feature Phone;NON;Windows;44216;59265;97066;22383;57457;3344;26294; 11.2162 ; 4.7517 ; 11.2277 ; 4.7502 ;11.51645;3.89897
131999982;41;31/01/2009;Postpaid_B2C;Postpaid_B2B_offer;Commune_1;Mandjap;LITTORAL;Geoloc_Work;LB;95;Students;Cigales;Spending_Messaging;19;215;858;93;823;508;40;821;5;22;5;662;68;19;20;9;2;9;5;5;4;4;70375;9;7180;5;6642;9;4446;7;50904;7;54215;4;Samsung;A8;Feature Phone;NON;IOS;32389;59054;43803;54743;35339;57611;50262; 10.3288 ; 3.7234 ; 10.3288 ; 3.7234 ;9.753459;4.07293
460999935;40;05/09/2012;Postpaid_B2B;Prepaid_B2C_Offer;Commune_3;Matomb;CENTRE;Geoloc_Home;Neutral;95;Students;Cigales;Spending_Data;22;745;489;23;656;923;88;297;86;90;29;612;26;18;12;10;1;1;8;7;6;9;19866;1;4047;1;35087;7;10622;10;74717;6;77878;8;Samsung;S8 Plus;Feature Phone;NON;Android;74294;93322;87099;83701;87733;20296;92397; 11.0543 ; 3.8317 ; 11.0543 ; 3.8317 ;11.51645;3.89897
544999923;55;23/08/2011;Postpaid_B2C;Postpaid_B2B_offer;Commune_2;Kingui;EXTREME NORD;Geoloc_Home;FB;30;Foreigners;Cigales;Spending_Voix;5;615;146;78;671;90;12;14;92;34;21;843;50;18;12;7;2;3;6;3;5;7;95960;9;82628;9;3188;6;59643;1;43192;2;20179;7;Samsung;A8;Smartphone;NON;Windows;42967;34487;49539;53259;65837;10356;41848; 13.6632 ; 10.568 ; 13.6632 ; 10.568 ;14.46861;10.7487
89999988;27;11/10/2014;Prepaid_B2C;Postpaid_B2C_offer;Commune_2;Mundemba;SUD OUEST;Geoloc_Home;LB;70;Jeunes;Fourmis;Spending_Data;4;233;39;83;244;919;63;218;11;79;10;398;8;20;10;2;4;4;7;6;4;9;71941;4;20937;7;16009;3;77852;10;15177;9;54238;7;OPPO;F12;Feature Phone;OUI;IOS;96480;32779;55950;37877;70394;63390;47624; 8.89397 ; 4.9620 ; 8.89397 ; 4.9620 ;9.314680;4.38596
488999931;35;28/09/2016;Postpaid_B2B;Postpaid_B2C_offer;Commune_2;Bankim;ADAMAOUA;Geoloc_Work;F;53;Foreigners;Fourmis;Spending_Voix;19;296;610;64;146;60;27;135;25;12;17;505;53;21;19;3;10;6;3;7;8;10;15925;2;39881;10;43578;5;44825;5;17638;3;88972;9;Apple;Iphone SE;Feature Phone;NON;Windows;13906;64270;29988;72656;43072;44993;30508; 11.4717 ; 6.0834 ; 11.4717 ; 6.0834 ;13.58763;7.16124
383999946;24;02/12/2014;Postpaid_B2B;Prepaid_B2C_Offer;Commune_2;Salak;EXTREME NORD;Geoloc_Weekend;L;39;Jeunes;Cigales;Spending_Messaging;10;126;258;27;695;261;84;750;33;10;27;594;16;29;14;3;6;5;5;7;9;6;1747;1;53143;1;70908;1;10191;1;74526;3;46183;9;Sony;Xperia Z3;Feature Phone;OUI;Autre;89350;15383;52377;22046;14347;61085;48146; 14.2345 ; 10.448 ; 14.2345 ; 10.448 ;14.46861;10.7487
159999978;43;02/07/2010;Postpaid_B2C;Postpaid_B2C_offer;Commune_1;Sangmelima;SUD;Geoloc_Weekend;Neutral;80;Foreigners;Cigales;Spending_Data;13;132;768;47;585;187;90;117;21;55;27;678;53;28;11;2;8;1;1;7;1;1;10505;7;94345;1;29329;2;21306;5;9759;6;63614;9;Sony;Xperia AX;Smartphone;OUI;Windows;26262;42978;59480;57360;12174;25942;5685; 11.9753 ; 2.9336 ; 11.9796 ; 2.9360 ;10.96861;2.86567
243999966;60;26/02/2007;Postpaid_B2B;Postpaid_B2B_offer;Commune_3;Limbé;SUD OUEST;Geoloc_Work;L;9;Foreigners;Fourmis;Spending_Data;27;999;253;8;468;74;30;1000;14;58;23;73;71;25;23;4;10;9;3;1;1;7;50955;5;55161;3;71519;5;2260;7;39951;9;31217;3;Sony;Ericson;Smartphone;NON;Android;43437;32304;95050;90060;68496;92170;48401; 9.17903 ; 4.0162 ; 9.18123 ; 4.0172 ;9.314680;4.38596
271999962;53;25/10/2016;Postpaid_B2C;Postpaid_B2C_offer;Commune_3;Abang;CENTRE;Geoloc_Work;F;51;Students;Cigales;Spending_Messaging;18;366;302;36;645;419;100;252;49;64;3;412;57;18;10;8;1;1;1;7;2;4;13845;5;83667;2;67886;4;63187;9;58036;1;35462;6;Sony;Xperia ZII;Feature Phone;OUI;Autre;59900;20226;11363;33538;37723;11455;27281; 11.5812 ; 3.8122 ; 11.5812 ; 3.8122 ;11.51645;3.89897
572999919;55;02/06/2017;Postpaid_B2B;Prepaid_B2C_Offer;Commune_2;Elogbatindi;LITTORAL;Geoloc_Home;F;77;Jeunes;Fourmis;Spending_Data;4;235;642;36;930;9;46;660;43;6;8;22;52;26;16;4;9;3;5;1;2;10;940;4;99417;8;19295;8;85819;4;22703;9;23017;10;Apple;Iphone X;Feature Phone;OUI;Autre;67447;78221;39504;77854;68263;34765;4392; 10.1244 ; 3.4158 ; 10.1244 ; 3.4158 ;9.753459;4.07293
54999993;47;01/05/2017;Postpaid_B2B;Postpaid_B2B_offer;Commune_1;Ngaouyanga;ADAMAOUA;Geoloc_Work;FB;59;Students;Fourmis;Spending_Messaging;30;757;100;84;705;77;25;345;65;69;8;88;76;22;5;2;1;2;1;1;9;3;43740;2;2129;1;81066;1;79302;3;69701;2;22411;6;Samsung;S8 Plus;Feature Phone;NON;Android;31694;19911;86723;11178;10815;39104;75986; 13.6175 ; 7.9002 ; 13.6175 ; 7.9002 ;13.58763;7.16124
670999905;51;30/04/2010;Postpaid_B2C;Postpaid_B2B_offer;Commune_3;Ngoulmepa;LITTORAL;Geoloc_Home;LB;66;Foreigners;Cigales;Spending_Data;18;760;7;95;162;843;67;569;56;75;9;608;54;23;9;4;4;1;4;2;5;4;51215;2;70056;3;61343;3;30524;7;90018;5;70070;5;OPPO;Find 9;Smartphone;NON;Windows;95969;84919;64629;52539;83301;17495;95800; 10.0631 ; 3.8986 ; 10.0631 ; 3.8986 ;9.753459;4.07293
54999993;41;31/05/2014;Postpaid_B2C;Postpaid_B2C_offer;Commune_2;Ngaoui;ADAMAOUA;Geoloc_Home;LB;9;Students;Fourmis;Spending_Data;21;107;151;3;307;373;7;32;9;20;13;474;77;21;14;10;1;3;2;1;7;1;50676;8;8517;10;82577;6;75233;9;13799;10;3898;10;Samsung;J7;Feature Phone;NON;Autre;12529;70908;99697;91551;25214;37816;4432; 14.9480 ; 6.7486 ; 14.9480 ; 6.7486 ;13.58763;7.16124
355999950;70;11/03/2010;Postpaid_B2B;Postpaid_B2C_offer;Commune_1;Mbe;ADAMAOUA;Geoloc_Home;L;72;Foreigners;Fourmis;Spending_Messaging;3;618;987;63;337;143;83;700;76;23;11;9;75;28;5;1;3;1;6;4;8;10;8598;8;10768;6;71502;6;95893;5;78329;3;25487;5;OPPO;F12;Feature Phone;NON;Autre;72655;2831;64917;80778;6968;83928;27192; 13.5898 ; 7.8623 ; 13.5898 ; 7.8623 ;13.58763;7.16124
642999909;30;30/12/2015;Postpaid_B2B;Postpaid_B2B_offer;Commune_3;Atok;EST;Geoloc_Work;F;80;Students;Cigales;Spending_Data;10;786;472;33;132;603;71;673;71;60;3;911;36;24;13;4;5;4;7;6;2;5;74726;10;64697;8;79942;5;2419;5;48387;2;89064;2;Nokia;Nokia 8;Smartphone;OUI;Android;97991;59864;53359;48916;12297;27777;38299; 12.7758 ; 3.9936 ; 12.7758 ; 3.9936 ;13.81931;4.59548
334999953;21;14/03/2008;Prepaid_B2C;Prepaid_B2C_Offer;Commune_1;Bankwop;OUEST;Geoloc_Weekend;F;2;Students;Fourmis;Spending_Messaging;15;322;552;84;167;77;38;767;66;71;30;365;90;29;14;7;6;1;2;6;1;3;70500;1;70386;10;54219;7;71935;9;54181;10;61169;7;Samsung;Note 9;Smartphone;OUI;Windows;23430;66582;47371;16920;11969;93779;17082; 10.1831 ; 5.1073 ; 10.1831 ; 5.1073 ;10.45686;6.98414
621999912;52;03/09/2016;Postpaid_B2B;Prepaid_B2C_Offer;Commune_2;Oku;NORD OUEST;Geoloc_Weekend;F;83;Students;Fourmis;Spending_Voix;24;937;963;6;829;879;73;446;49;41;16;276;93;18;21;9;10;2;2;10;5;6;3105;4;59313;1;73425;5;21098;4;58332;3;97193;8;Sony;Xperia Z3;Smartphone;NON;IOS;64618;49549;61686;15039;74533;16270;82274; 10.4989 ; 6.2387 ; 10.4989 ; 6.2387 ;10.23741;6.08712
467999934;69;14/05/2018;Prepaid_B2C;Postpaid_B2B_offer;Commune_2;Zileng;EXTREME NORD;Geoloc_Home;FB;47;Students;Cigales;Spending_Data;2;122;310;84;803;146;79;765;44;73;10;106;75;23;19;2;10;7;1;1;5;10;10223;5;31330;10;21542;9;76315;2;21758;9;52867;10;Apple;Iphone 6;Feature Phone;OUI;Autre;23192;39273;71068;13412;79155;82;92803; 13.8279 ; 10.713 ; 13.8279 ; 10.713 ;14.46861;10.7487
